Product Name,Brand,Price,Rating,Review Count,Adjusted Score
r.e.m. Cherry Eclipse Eau de Parfum,Ariana Grande ,$60.00 - $70.00,4.7,268,4.52
Cosmic Kylie Jenner Eau de Parfum,KYLIE JENNER FRAGRANCES ,$50.00 - $80.00,4.3,3003,4.29
Donna Born In Roma Eau de Parfum,Valentino ,$100.00 - $170.00,4.8,6101,4.79
Eilish Eau de Parfum,Billie Eilish ,$68.00 - $78.00,4.5,3556,4.49
Gaultier Divine Eau de Parfum,Jean Paul Gaultier ,$92.00 - $164.00,4.5,1608,4.47
XO KHLOÉ,KHLOÉ KARDASHIAN ,$78.00,4.5,673,4.44
Good Girl Blush Eau de Parfum,Carolina Herrera ,$98.00 - $170.00,4.5,458,4.42
Miss Dior Eau de Parfum,Dior ,$108.00 - $215.00,4.6,9730,4.59
Burberry Goddess Eau de Parfum,Burberry ,$105.00 - $168.00,4.7,1504,4.66
Her Eau de Parfum,Burberry ,$105.00 - $204.00,4.5,5098,4.49
COCO MADEMOISELLE Eau de Parfum Spray,CHANEL ,$143.00 - $176.00,4.5,370,4.4
Cloud Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.3,2806,4.29
Devotion Eau de Parfum,Dolce&Gabbana ,$101.00 - $170.00,4.2,399,4.17
Paradoxe Eau de Parfum,Prada ,$100.00 - $170.00,4.7,2273,4.67
Her Elixir de Parfum,Burberry ,$112.00 - $180.00,4.6,2581,4.58
J'adore Eau de Parfum,Dior ,$108.00 - $215.00,4.6,3009,4.58
Libre Eau de Parfum,Yves Saint Laurent ,$100.00 - $210.00,4.6,5177,4.59
Good Girl Eau de Parfum,Carolina Herrera ,$88.00 - $180.00,4.6,1990,4.57
Black Opium Eau de Parfum,Yves Saint Laurent ,$98.00 - $205.00,4.7,7515,4.69
CHANCE EAU TENDRE Eau de Parfum Spray,CHANEL ,$143.00 - $176.00,4.4,277,4.31
MOD Vanilla Eau de Parfum,Ariana Grande ,$48.00 - $70.00,4.3,812,4.27
Flowerbomb Eau de Parfum,Viktor&Rolf ,$97.00 - $235.00,4.8,10319,4.79
